"";"Class: ctrl300";"Class: ctrl600";"Class: Pym300exp";"Class: Pym600exp"
"Sensitivity";0,615384615384615;0,777777777777778;0,833333333333333;0,888888888888889
"Specificity";0,958333333333333;0,928571428571429;0,806451612903226;1
"Pos Pred Value";0,888888888888889;0,777777777777778;0,454545454545454;1
"Neg Pred Value";0,821428571428572;0,928571428571429;0,961538461538462;0,96551724137931
"Precision";0,888888888888889;0,777777777777778;0,454545454545455;1
"Recall";0,615384615384615;0,777777777777778;0,833333333333333;0,888888888888889
"F1";0,727272727272727;0,777777777777778;0,588235294117647;0,941176470588235
"Prevalence";0,351351351351351;0,243243243243243;0,162162162162162;0,243243243243243
"Detection Rate";0,216216216216216;0,189189189189189;0,135135135135135;0,216216216216216
"Detection Prevalence";0,243243243243243;0,243243243243243;0,297297297297297;0,216216216216216
"Balanced Accuracy";0,786858974358974;0,853174603174603;0,81989247311828;0,944444444444444
