"";"Class: ctrl300";"Class: ctrl600";"Class: Pym300exp";"Class: Pym600exp"
"Sensitivity";0,769230769230769;0,777777777777778;0,833333333333333;0,555555555555556
"Specificity";0,958333333333333;0,928571428571429;0,774193548387097;1
"Pos Pred Value";0,909090909090909;0,777777777777778;0,416666666666667;1
"Neg Pred Value";0,884615384615385;0,928571428571429;0,96;0,875
"Precision";0,909090909090909;0,777777777777778;0,416666666666667;1
"Recall";0,769230769230769;0,777777777777778;0,833333333333333;0,555555555555556
"F1";0,833333333333333;0,777777777777778;0,555555555555556;0,714285714285714
"Prevalence";0,351351351351351;0,243243243243243;0,162162162162162;0,243243243243243
"Detection Rate";0,27027027027027;0,189189189189189;0,135135135135135;0,135135135135135
"Detection Prevalence";0,297297297297297;0,243243243243243;0,324324324324324;0,135135135135135
"Balanced Accuracy";0,863782051282051;0,853174603174603;0,803763440860215;0,777777777777778
