"";"Class: ctrl300";"Class: ctrl600";"Class: Pym300exp";"Class: Pym600exp"
"Sensitivity";0,769230769230769;0,444444444444444;0,833333333333333;0,666666666666667
"Specificity";0,958333333333333;0,964285714285714;0,67741935483871;1
"Pos Pred Value";0,909090909090909;0,8;0,333333333333333;1
"Neg Pred Value";0,884615384615385;0,84375;0,954545454545455;0,903225806451613
"Precision";0,909090909090909;0,8;0,333333333333333;1
"Recall";0,769230769230769;0,444444444444444;0,833333333333333;0,666666666666667
"F1";0,833333333333333;0,571428571428571;0,476190476190476;0,8
"Prevalence";0,351351351351351;0,243243243243243;0,162162162162162;0,243243243243243
"Detection Rate";0,27027027027027;0,108108108108108;0,135135135135135;0,162162162162162
"Detection Prevalence";0,297297297297297;0,135135135135135;0,405405405405405;0,162162162162162
"Balanced Accuracy";0,863782051282051;0,704365079365079;0,755376344086022;0,833333333333333
