"";"Class: ctrl300";"Class: ctrl600";"Class: Pym300exp";"Class: Pym600exp"
"Sensitivity";0,769230769230769;0,777777777777778;0,833333333333333;0,777777777777778
"Specificity";0,958333333333333;0,928571428571429;0,838709677419355;1
"Pos Pred Value";0,909090909090909;0,777777777777778;0,5;1
"Neg Pred Value";0,884615384615385;0,928571428571429;0,962962962962963;0,933333333333333
"Precision";0,909090909090909;0,777777777777778;0,5;1
"Recall";0,769230769230769;0,777777777777778;0,833333333333333;0,777777777777778
"F1";0,833333333333333;0,777777777777778;0,625;0,875
"Prevalence";0,351351351351351;0,243243243243243;0,162162162162162;0,243243243243243
"Detection Rate";0,27027027027027;0,189189189189189;0,135135135135135;0,189189189189189
"Detection Prevalence";0,297297297297297;0,243243243243243;0,27027027027027;0,189189189189189
"Balanced Accuracy";0,863782051282051;0,853174603174603;0,836021505376344;0,888888888888889
